date,equity
2014-01-02,10000
2014-01-03,9988.6136931945221
2014-01-06,9958.6620487198124
2014-01-07,10002.358815630554
2014-01-08,9996.5329687310623
2014-01-09,9997.8164285898874
2014-01-10,10063.099811010043
2014-01-13,9974.6510457618315
2014-01-14,10055.165285591858
2014-01-15,10102.925205785159
2014-01-16,10104.809380458268
2014-01-17,10094.142743264703
2014-01-21,10109.501231948487
2014-01-22,10118.29895887774
2014-01-23,10125.837503153571
2014-01-24,9969.3624995176924
2014-01-27,9872.6609256500251
2014-01-28,9909.7786299186027
2014-01-29,9856.7013257990639
2014-01-30,9908.3131976511522
2014-01-31,9876.5831307115586
2014-02-03,9715.0107430841144
2014-02-04,9761.2609738440642
2014-02-05,9741.554516273578
2014-02-06,9825.4454357568902
2014-02-07,9946.3121221461261
2014-02-10,9986.5026386190948
2014-02-11,10094.756982739425
2014-02-12,10110.698939394229
2014-02-13,10194.066360352614
2014-02-14,10251.756746904801
2014-02-18,10295.023581349706
2014-02-19,10213.176357060447
2014-02-20,10291.957581257629
2014-02-21,10291.481862088058
2014-02-24,10366.638639918185
2014-02-25,10369.182516834911
2014-02-26,10358.836322018504
2014-02-27,10405.176348257861
2014-02-28,10389.283860470483
2014-03-03,10390.909655606503
2014-03-04,10488.968776941763
2014-03-05,10501.447695827124
2014-03-06,10531.394758633793
2014-03-07,10496.998387874737
2014-03-10,10491.386393772953
2014-03-11,10457.427332038238
2014-03-12,10513.132907673789
2014-03-13,10425.56250191843
2014-03-14,10426.99044112457
2014-03-17,10457.912961861521
2014-03-18,10522.72673094478
2014-03-19,10427.14045109797
2014-03-20,10449.888341938442
2014-03-21,10408.209789297347
2014-03-24,10301.563496312434
2014-03-25,10328.328320250523
2014-03-26,10210.66935672498
2014-03-27,10167.774246301322
2014-03-28,10184.582697937785
2014-03-31,10244.964379218663
2014-04-01,10334.913835420954
2014-04-02,10380.407108117304
2014-04-03,10329.17135542759
2014-04-04,10210.876119626464
2014-04-07,10148.983150379405
2014-04-08,10202.878149924547
2014-04-09,10283.323060680832
2014-04-10,10127.740670633537
2014-04-11,10077.532195531638
2014-04-14,10113.004628708504
2014-04-15,10167.842969868538
2014-04-16,10251.374031859095
2014-04-17,10229.907410128339
2014-04-21,10263.095926278824
2014-04-22,10325.359390880527
2014-04-23,10305.769518273552
2014-04-24,10334.317360114985
2014-04-25,10243.870139444287
2014-04-28,10232.484303193574
2014-04-29,10263.574960319793
2014-04-30,10305.367525421805
2014-05-01,10345.909714363586
2014-05-02,10359.119652224006
2014-05-05,10352.855206109502
2014-05-06,10280.715310791702
2014-05-07,10281.372255199602
2014-05-08,10242.533206132137
2014-05-09,10261.93266548284
2014-05-12,10354.832035597332
2014-05-13,10368.416823574951
2014-05-14,10346.858075973469
2014-05-15,10318.666084720182
2014-05-16,10345.842919900138
2014-05-19,10367.548241136741
2014-05-20,10317.995761600019
2014-05-21,10352.127767070948
2014-05-22,10384.585545989379
2014-05-23,10451.380829417589
2014-05-27,10543.998211377524
2014-05-28,10566.477292921512
2014-05-29,10585.029438321058
2014-05-30,10578.849307155875
2014-06-02,10542.797547454806
2014-06-03,10494.743981551106
2014-06-04,10515.693171246065
2014-06-05,10597.404106990663
2014-06-06,10643.853687115821
2014-06-09,10658.801815293195
2014-06-10,10647.266995571148
2014-06-11,10631.423935688696
2014-06-12,10604.685493404484
2014-06-13,10622.197923966778
2014-06-16,10644.79474571599
2014-06-17,10643.556422791686
2014-06-18,10717.842946059029
2014-06-19,10680.766917485646
2014-06-20,10720.300701135107
2014-06-23,10705.795065798433
2014-06-24,10694.675348467856
2014-06-25,10748.941612277908
2014-06-26,10760.374051024437
2014-06-27,10784.703405597918
2014-06-30,10802.945856713059
2014-07-01,10840.774834579206
2014-07-02,10806.496262263119
2014-07-03,10836.632782477227
2014-07-07,10807.722637802037
2014-07-08,10769.601267232543
2014-07-09,10807.062482393811
2014-07-10,10766.661579843389
2014-07-11,10804.413130621611
2014-07-14,10830.90048388395
2014-07-15,10790.838476682069
2014-07-16,10824.892404827122
2014-07-17,10766.741292546936
2014-07-18,10856.311805803502
2014-07-21,10855.877789423788
2014-07-22,10907.757252770105
2014-07-23,10928.243882622701
2014-07-24,10896.737998555236
2014-07-25,10894.39477259965
2014-07-28,10881.923863611753
2014-07-29,10880.745269800929
2014-07-30,10851.261938958272
2014-07-31,10684.02276804161
2014-08-01,10681.756862482749
2014-08-04,10710.785695701337
2014-08-05,10668.224527509838
2014-08-06,10708.358857097746
2014-08-07,10717.80999800988
2014-08-08,10766.520196388336
2014-08-11,10784.911325742223
2014-08-12,10763.652433430338
2014-08-13,10831.929011426346
2014-08-14,10881.242558485275
2014-08-15,10903.088243027865
2014-08-18,10911.299179517586
2014-08-19,10928.1915037156
2014-08-20,10922.823393046445
2014-08-21,10921.108269246573
2014-08-22,10941.840472024309
2014-08-25,10965.601170921353
2014-08-26,10975.839080626809
2014-08-27,10995.662612003185
2014-08-28,11019.632704603919
2014-08-29,11036.684573566767
2014-09-02,10949.294018377588
2014-09-03,10919.396775933557
2014-09-04,10871.113691560504
2014-09-05,10903.224666830596
2014-09-08,10904.289058737815
2014-09-09,10831.982650434653
2014-09-10,10864.573159988424
