date,symbol,target_weight
2005-02-25,GLD,1
2005-02-25,IWM,0
2005-02-25,QQQ,0
2005-02-25,SPY,0
2005-02-25,TLT,0
2005-02-28,GLD,1
2005-02-28,IWM,0
2005-02-28,QQQ,0
2005-02-28,SPY,0
2005-02-28,TLT,0
2005-03-01,GLD,1
2005-03-01,IWM,0
2005-03-01,QQQ,0
2005-03-01,SPY,0
2005-03-01,TLT,0
2005-03-02,GLD,1
2005-03-02,IWM,0
2005-03-02,QQQ,0
2005-03-02,SPY,0
2005-03-02,TLT,0
2005-03-03,GLD,1
2005-03-03,IWM,0
2005-03-03,QQQ,0
2005-03-03,SPY,0
2005-03-03,TLT,0
2005-03-04,GLD,1
2005-03-04,IWM,0
2005-03-04,QQQ,0
2005-03-04,SPY,0
2005-03-04,TLT,0
2005-03-07,GLD,1
2005-03-07,IWM,0
2005-03-07,QQQ,0
2005-03-07,SPY,0
2005-03-07,TLT,0
2005-03-08,GLD,1
2005-03-08,IWM,0
2005-03-08,QQQ,0
2005-03-08,SPY,0
2005-03-08,TLT,0
2005-03-09,GLD,1
2005-03-09,IWM,0
2005-03-09,QQQ,0
2005-03-09,SPY,0
2005-03-09,TLT,0
2005-03-10,GLD,1
2005-03-10,IWM,0
2005-03-10,QQQ,0
2005-03-10,SPY,0
2005-03-10,TLT,0
2005-03-11,GLD,1
2005-03-11,IWM,0
2005-03-11,QQQ,0
2005-03-11,SPY,0
2005-03-11,TLT,0
2005-03-14,GLD,1
2005-03-14,IWM,0
2005-03-14,QQQ,0
2005-03-14,SPY,0
2005-03-14,TLT,0
2005-03-15,GLD,1
2005-03-15,IWM,0
2005-03-15,QQQ,0
2005-03-15,SPY,0
2005-03-15,TLT,0
2005-03-16,GLD,1
2005-03-16,IWM,0
2005-03-16,QQQ,0
2005-03-16,SPY,0
2005-03-16,TLT,0
2005-03-17,GLD,1
2005-03-17,IWM,0
2005-03-17,QQQ,0
2005-03-17,SPY,0
2005-03-17,TLT,0
2005-03-18,GLD,1
2005-03-18,IWM,0
2005-03-18,QQQ,0
