date,symbol,target_weight
2005-02-25,GLD,1
2005-02-25,XLB,0
2005-02-25,XLE,0
2005-02-25,XLF,0
2005-02-25,XLI,0
2005-02-25,XLK,0
2005-02-25,XLP,0
2005-02-25,XLU,0
2005-02-25,XLV,0
2005-02-25,XLY,0
2005-02-28,GLD,1
2005-02-28,XLB,0
2005-02-28,XLE,0
2005-02-28,XLF,0
2005-02-28,XLI,0
2005-02-28,XLK,0
2005-02-28,XLP,0
2005-02-28,XLU,0
2005-02-28,XLV,0
2005-02-28,XLY,0
2005-03-01,GLD,1
2005-03-01,XLB,0
2005-03-01,XLE,0
2005-03-01,XLF,0
2005-03-01,XLI,0
2005-03-01,XLK,0
2005-03-01,XLP,0
2005-03-01,XLU,0
2005-03-01,XLV,0
2005-03-01,XLY,0
2005-03-02,GLD,1
2005-03-02,XLB,0
2005-03-02,XLE,0
2005-03-02,XLF,0
2005-03-02,XLI,0
2005-03-02,XLK,0
2005-03-02,XLP,0
2005-03-02,XLU,0
2005-03-02,XLV,0
2005-03-02,XLY,0
2005-03-03,GLD,1
2005-03-03,XLB,0
2005-03-03,XLE,0
2005-03-03,XLF,0
2005-03-03,XLI,0
2005-03-03,XLK,0
2005-03-03,XLP,0
2005-03-03,XLU,0
2005-03-03,XLV,0
2005-03-03,XLY,0
2005-03-04,GLD,1
2005-03-04,XLB,0
2005-03-04,XLE,0
2005-03-04,XLF,0
2005-03-04,XLI,0
2005-03-04,XLK,0
2005-03-04,XLP,0
2005-03-04,XLU,0
2005-03-04,XLV,0
2005-03-04,XLY,0
2005-03-07,GLD,1
2005-03-07,XLB,0
2005-03-07,XLE,0
2005-03-07,XLF,0
2005-03-07,XLI,0
2005-03-07,XLK,0
2005-03-07,XLP,0
2005-03-07,XLU,0
2005-03-07,XLV,0
2005-03-07,XLY,0
2005-03-08,GLD,1
2005-03-08,XLB,0
2005-03-08,XLE,0
2005-03-08,XLF,0
2005-03-08,XLI,0
2005-03-08,XLK,0
2005-03-08,XLP,0
2005-03-08,XLU,0
2005-03-08,XLV,0
2005-03-08,XLY,0
2005-03-09,GLD,1
2005-03-09,XLB,0
2005-03-09,XLE,0
2005-03-09,XLF,0
2005-03-09,XLI,0
2005-03-09,XLK,0
2005-03-09,XLP,0
2005-03-09,XLU,0
2005-03-09,XLV,0
2005-03-09,XLY,0
2005-03-10,GLD,1
2005-03-10,XLB,0
2005-03-10,XLE,0
2005-03-10,XLF,0
2005-03-10,XLI,0
2005-03-10,XLK,0
2005-03-10,XLP,0
2005-03-10,XLU,0
2005-03-10,XLV,0
2005-03-10,XLY,0
2005-03-11,GLD,1
2005-03-11,XLB,0
2005-03-11,XLE,0
2005-03-11,XLF,0
2005-03-11,XLI,0
2005-03-11,XLK,0
2005-03-11,XLP,0
2005-03-11,XLU,0
2005-03-11,XLV,0
2005-03-11,XLY,0
2005-03-14,GLD,1
2005-03-14,XLB,0
2005-03-14,XLE,0
2005-03-14,XLF,0
2005-03-14,XLI,0
2005-03-14,XLK,0
2005-03-14,XLP,0
2005-03-14,XLU,0
2005-03-14,XLV,0
2005-03-14,XLY,0
2005-03-15,GLD,1
2005-03-15,XLB,0
2005-03-15,XLE,0
2005-03-15,XLF,0
2005-03-15,XLI,0
2005-03-15,XLK,0
2005-03-15,XLP,0
2005-03-15,XLU,0
2005-03-15,XLV,0
2005-03-15,XLY,0
2005-03-16,GLD,1
2005-03-16,XLB,0
