date,symbol,target_weight
2005-02-25,GLD,1
2005-02-25,QQQ,0
2005-02-25,SPY,0
2005-02-25,VTI,0
2005-02-25,XLK,0
2005-02-28,GLD,1
2005-02-28,QQQ,0
2005-02-28,SPY,0
2005-02-28,VTI,0
2005-02-28,XLK,0
2005-03-01,GLD,1
2005-03-01,QQQ,0
2005-03-01,SPY,0
2005-03-01,VTI,0
2005-03-01,XLK,0
2005-03-02,GLD,1
2005-03-02,QQQ,0
2005-03-02,SPY,0
2005-03-02,VTI,0
2005-03-02,XLK,0
2005-03-03,GLD,1
2005-03-03,QQQ,0
2005-03-03,SPY,0
2005-03-03,VTI,0
2005-03-03,XLK,0
2005-03-04,GLD,1
2005-03-04,QQQ,0
2005-03-04,SPY,0
2005-03-04,VTI,0
2005-03-04,XLK,0
2005-03-07,GLD,1
2005-03-07,QQQ,0
2005-03-07,SPY,0
2005-03-07,VTI,0
2005-03-07,XLK,0
2005-03-08,GLD,1
2005-03-08,QQQ,0
2005-03-08,SPY,0
2005-03-08,VTI,0
2005-03-08,XLK,0
2005-03-09,GLD,1
2005-03-09,QQQ,0
2005-03-09,SPY,0
2005-03-09,VTI,0
2005-03-09,XLK,0
2005-03-10,GLD,1
2005-03-10,QQQ,0
2005-03-10,SPY,0
2005-03-10,VTI,0
2005-03-10,XLK,0
2005-03-11,GLD,1
2005-03-11,QQQ,0
2005-03-11,SPY,0
2005-03-11,VTI,0
2005-03-11,XLK,0
2005-03-14,GLD,1
2005-03-14,QQQ,0
2005-03-14,SPY,0
2005-03-14,VTI,0
2005-03-14,XLK,0
2005-03-15,GLD,1
2005-03-15,QQQ,0
2005-03-15,SPY,0
2005-03-15,VTI,0
2005-03-15,XLK,0
2005-03-16,GLD,1
2005-03-16,QQQ,0
2005-03-16,SPY,0
2005-03-16,VTI,0
2005-03-16,XLK,0
2005-03-17,GLD,1
2005-03-17,QQQ,0
2005-03-17,SPY,0
2005-03-17,VTI,0
2005-03-17,XLK,0
2005-03-18,GLD,1
2005-03-18,QQQ,0
2005-03-18,SPY,0
2005-03-18,VTI,0
2005-03-18,XLK,0
2005-03-21,GLD,1
2005-03-21,QQQ,0
2005-03-21,SPY,0
2005-03-21,VTI,0
2005-03-21,XLK,0
2005-03-22,GLD,1
2005-03-22,QQQ,0
2005-03-22,SPY,0
2005-03-22,VTI,0
2005-03-22,XLK,0
2005-03-23,GLD,1
2005-03-23,QQQ,0
2005-03-23,SPY,0
2005-03-23,VTI,0
2005-03-23,XLK,0
2005-03-24,GLD,1
2005-03-24,QQQ,0
2005-03-24,SPY,0
2005-03-24,VTI,0
2005-03-24,XLK,0
2005-03-28,GLD,1
2005-03-28,QQQ,0
2005-03-28,SPY,0
2005-03-28,VTI,0
2005-03-28,XLK,0
2005-03-29,GLD,1
2005-03-29,QQQ,0
2005-03-29,SPY,0
2005-03-29,VTI,0
2005-03-29,XLK,0
2005-03-30,GLD,1
2005-03-30,QQQ,0
2005-03-30,SPY,0
2005-03-30,VTI,0
2005-03-30,XLK,0
2005-03-31,GLD,1
2005-03-31,QQQ,0
2005-03-31,SPY,0
2005-03-31,VTI,0
2005-03-31,XLK,0
2005-04-01,GLD,1
2005-04-01,QQQ,0
2005-04-01,SPY,0
2005-04-01,VTI,0
2005-04-01,XLK,0
2005-04-04,GLD,1
2005-04-04,QQQ,0
2005-04-04,SPY,0
2005-04-04,VTI,0
2005-04-04,XLK,0
2005-04-05,GLD,1
2005-04-05,QQQ,0
2005-04-05,SPY,0
2005-04-05,VTI,0
2005-04-05,XLK,0
2005-04-06,GLD,1
2005-04-06,QQQ,0
2005-04-06,SPY,0
2005-04-06,VTI,0
2005-04-06,XLK,0
2005-04-07,GLD,1
2005-04-07,QQQ,0
2005-04-07,SPY,0
2005-04-07,VTI,0
2005-04-07,XLK,0
2005-04-08,GLD,1
2005-04-08,QQQ,0
2005-04-08,SPY,0
2005-04-08,VTI,0
2005-04-08,XLK,0
2005-04-11,GLD,1
2005-04-11,QQQ,0
2005-04-11,SPY,0
2005-04-11,VTI,0
2005-04-11,XLK,0
2005-04-12,GLD,1
2005-04-12,QQQ,0
2005-04-12,SPY,0
2005-04-12,VTI,0
2005-04-12,XLK,0
2005-04-13,GLD,1
2005-04-13,QQQ,0
2005-04-13,SPY,0
2005-04-13,VTI,0
2005-04-13,XLK,0
2005-04-14,GLD,1
2005-04-14,QQQ,0
2005-04-14,SPY,0
2005-04-14,VTI,0
2005-04-14,XLK,0
2005-04-15,GLD,1
2005-04-15,QQQ,0
2005-04-15,SPY,0
2005-04-15,VTI,0
2005-04-15,XLK,0
2005-04-18,GLD,1
2005-04-18,QQQ,0
2005-04-18,SPY,0
2005-04-18,VTI,0
2005-04-18,XLK,0
2005-04-19,GLD,1
2005-04-19,QQQ,0
2005-04-19,SPY,0
2005-04-19,VTI,0
2005-04-19,XLK,0
2005-04-20,GLD,1
2005-04-20,QQQ,0
2005-04-20,SPY,0
2005-04-20,VTI,0
2005-04-20,XLK,0
2005-04-21,GLD,1
2005-04-21,QQQ,0
2005-04-21,SPY,0
2005-04-21,VTI,0
2005-04-21,XLK,0
2005-04-22,GLD,1
2005-04-22,QQQ,0
2005-04-22,SPY,0
2005-04-22,VTI,0
2005-04-22,XLK,0
2005-04-25,GLD,1
2005-04-25,QQQ,0
2005-04-25,SPY,0
2005-04-25,VTI,0
2005-04-25,XLK,0
2005-04-26,GLD,1
2005-04-26,QQQ,0
2005-04-26,SPY,0
2005-04-26,VTI,0
2005-04-26,XLK,0
2005-04-27,GLD,1
2005-04-27,QQQ,0
2005-04-27,SPY,0
2005-04-27,VTI,0
2005-04-27,XLK,0
2005-04-28,GLD,1
2005-04-28,QQQ,0
2005-04-28,SPY,0
2005-04-28,VTI,0
2005-04-28,XLK,0
2005-04-29,GLD,1
2005-04-29,QQQ,0
2005-04-29,SPY,0
2005-04-29,VTI,0
2005-04-29,XLK,0
2005-05-02,GLD,1
2005-05-02,QQQ,0
2005-05-02,SPY,0
2005-05-02,VTI,0
2005-05-02,XLK,0
2005-05-03,GLD,1
2005-05-03,QQQ,0
2005-05-03,SPY,0
2005-05-03,VTI,0
2005-05-03,XLK,0
2005-05-04,GLD,1
2005-05-04,QQQ,0
2005-05-04,SPY,0
2005-05-04,VTI,0
2005-05-04,XLK,0
2005-05-05,GLD,1
2005-05-05,QQQ,0
2005-05-05,SPY,0
2005-05-05,VTI,0
2005-05-05,XLK,0
2005-05-06,GLD,1
2005-05-06,QQQ,0
2005-05-06,SPY,0
2005-05-06,VTI,0
2005-05-06,XLK,0
2005-05-09,GLD,1
2005-05-09,QQQ,0
2005-05-09,SPY,0
2005-05-09,VTI,0
2005-05-09,XLK,0
2005-05-10,GLD,1
2005-05-10,QQQ,0
2005-05-10,SPY,0
2005-05-10,VTI,0
2005-05-10,XLK,0
2005-05-11,GLD,1
2005-05-11,QQQ,0
2005-05-11,SPY,0
2005-05-11,VTI,0
2005-05-11,XLK,0
2005-05-12,GLD,1
2005-05-12,QQQ,0
2005-05-12,SPY,0
2005-05-12,VTI,0
2005-05-12,XLK,0
2005-05-13,GLD,1
2005-05-13,QQQ,0
2005-05-13,SPY,0
2005-05-13,VTI,0
2005-05-13,XLK,0
2005-05-16,GLD,1
2005-05-16,QQQ,0
2005-05-16,SPY,0
2005-05-16,VTI,0
2005-05-16,XLK,0
2005-05-17,GLD,1
2005-05-17,QQQ,0
2005-05-17,SPY,0
2005-05-17,VTI,0
2005-05-17,XLK,0
2005-05-18,GLD,1
2005-05-18,QQQ,0
2005-05-18,SPY,0
2005-05-18,VTI,0
2005-05-18,XLK,0
2005-05-19,GLD,1
2005-05-19,QQQ,0
2005-05-19,SPY,0
2005-05-19,VTI,0
2005-05-19,XLK,0
2005-05-20,GLD,1
2005-05-20,QQQ,0
2005-05-20,SPY,0
2005-05-20,VTI,0
